,total_long,total_short,net_short,total_oi,net_short_ratio,concentration_top5_short,concentration_top5_long,date,symbol,signal_level
1555,97100,107089,9989,204189,4.89,147.09,140.56,2021-09-01,IC2109,多头占优
1556,88303,100649,12346,188952,6.53,146.92,140.41,2021-09-02,IC2109,多头占优
1557,91745,100408,8663,192153,4.51,147.53,142.24,2021-09-03,IC2109,多头占优
1558,85410,93585,8175,178995,4.57,147.29,141.3,2021-09-06,IC2109,多头占优
1559,81663,91105,9442,172768,5.47,147.1,143.22,2021-09-07,IC2109,多头占优
1560,76175,84195,8020,160370,5.0,146.64,142.3,2021-09-08,IC2109,多头占优
1561,72821,80996,8175,153817,5.31,146.63,144.8,2021-09-09,IC2109,多头占优
1562,69571,76376,6805,145947,4.66,147.29,144.89,2021-09-10,IC2109,多头占优
1563,63878,69897,6019,133775,4.5,146.21,144.97,2021-09-13,IC2109,多头占优
1564,58936,62976,4040,121912,3.31,144.66,146.43,2021-09-14,IC2109,多头占优
1565,44155,46433,2278,90588,2.51,143.75,149.31,2021-09-15,IC2109,多头占优
1566,63621,67039,3418,130660,2.62,149.65,146.34,2021-09-16,IC2110,多头占优
1567,73491,76697,3206,150188,2.13,146.79,146.4,2021-09-17,IC2110,多头占优
1568,68886,72544,3658,141430,2.59,146.66,146.3,2021-09-22,IC2110,多头占优
1569,67814,71456,3642,139270,2.62,147.0,145.58,2021-09-23,IC2110,多头占优
1570,70053,73192,3139,143245,2.19,147.14,148.33,2021-09-24,IC2110,多头占优
1571,74834,76218,1384,151052,0.92,145.32,150.7,2021-09-27,IC2110,多头占优
1572,69466,70203,737,139669,0.53,143.74,150.51,2021-09-28,IC2110,多头占优
1573,73052,71910,-1142,144962,-0.79,144.08,152.67,2021-09-29,IC2110,空头力量偏弱
1574,64215,63664,-551,127879,-0.43,143.26,149.63,2021-09-30,IC2110,空头力量偏弱
1575,63585,61618,-1967,125203,-1.57,141.12,149.62,2021-10-08,IC2110,空头力量偏弱
1576,56680,55411,-1269,112091,-1.13,139.98,151.92,2021-10-11,IC2110,空头力量偏弱
1577,54371,51562,-2809,105933,-2.65,144.04,152.69,2021-10-12,IC2110,空头力量偏弱
1578,43451,42616,-835,86067,-0.97,143.96,153.32,2021-10-13,IC2110,空头力量偏弱
1579,47513,49491,1978,97004,2.04,148.13,152.5,2021-10-14,IC2111,多头占优
1580,57682,59782,2100,117464,1.79,147.16,149.46,2021-10-15,IC2111,多头占优
1581,56872,58953,2081,115825,1.8,145.7,145.84,2021-10-18,IC2111,多头占优
1582,53126,55605,2479,108731,2.28,146.58,146.17,2021-10-19,IC2111,多头占优
1583,54981,57147,2166,112128,1.93,146.4,144.91,2021-10-20,IC2111,多头占优
1584,55250,56223,973,111473,0.87,146.75,145.65,2021-10-21,IC2111,多头占优
1585,58918,59340,422,118258,0.36,146.75,146.08,2021-10-22,IC2111,多头占优
1586,55751,56946,1195,112697,1.06,145.86,144.71,2021-10-25,IC2111,多头占优
1587,56162,57241,1079,113403,0.95,145.51,144.82,2021-10-26,IC2111,多头占优
1588,55083,57323,2240,112406,1.99,144.4,146.14,2021-10-27,IC2111,多头占优
1589,59808,61490,1682,121298,1.39,145.63,146.82,2021-10-28,IC2111,多头占优
1590,58112,60583,2471,118695,2.08,145.84,146.0,2021-10-29,IC2111,多头占优
1591,56312,58969,2657,115281,2.3,144.91,143.45,2021-11-01,IC2111,多头占优
1592,59544,60891,1347,120435,1.12,145.82,143.47,2021-11-02,IC2111,多头占优
1593,58459,60602,2143,119061,1.8,144.35,142.74,2021-11-03,IC2111,多头占优
1594,52726,55728,3002,108454,2.77,143.82,143.81,2021-11-04,IC2111,多头占优
1595,53529,56784,3255,110313,2.95,144.02,143.48,2021-11-05,IC2111,多头占优
1596,49635,52675,3040,102310,2.97,142.79,144.12,2021-11-08,IC2111,多头占优
1597,47946,49707,1761,97653,1.8,142.52,144.31,2021-11-09,IC2111,多头占优
1598,48486,49174,688,97660,0.7,141.42,143.45,2021-11-10,IC2111,多头占优
1599,42402,44945,2543,87347,2.91,141.5,146.46,2021-11-11,IC2111,多头占优
1600,41014,42758,1744,83772,2.08,142.09,144.21,2021-11-12,IC2111,多头占优
1601,37910,40637,2727,78547,3.47,143.57,145.96,2021-11-15,IC2111,多头占优
1602,32071,33162,1091,65233,1.67,142.89,144.52,2021-11-16,IC2111,多头占优
1603,24852,25555,703,50407,1.39,140.76,143.4,2021-11-17,IC2111,多头占优
1604,100579,113135,12556,213714,5.88,145.78,145.53,2021-11-18,IC2112,多头占优
1605,107260,120296,13036,227556,5.73,145.06,145.28,2021-11-19,IC2112,多头占优
1606,103578,116227,12649,219805,5.75,145.53,143.24,2021-11-22,IC2112,多头占优
1607,101406,113204,11798,214610,5.5,145.35,143.0,2021-11-23,IC2112,多头占优
1608,101450,113287,11837,214737,5.51,144.91,142.83,2021-11-24,IC2112,多头占优
1609,99199,110195,10996,209394,5.25,145.35,143.12,2021-11-25,IC2112,多头占优
1610,101338,112058,10720,213396,5.02,145.12,144.2,2021-11-26,IC2112,多头占优
1611,100263,110417,10154,210680,4.82,145.2,145.51,2021-11-29,IC2112,多头占优
1612,98636,108953,10317,207589,4.97,144.79,144.1,2021-11-30,IC2112,多头占优
1613,94055,104079,10024,198134,5.06,143.98,144.65,2021-12-01,IC2112,多头占优
1614,91619,101742,10123,193361,5.24,145.33,144.55,2021-12-02,IC2112,多头占优
1615,86363,96435,10072,182798,5.51,145.57,146.66,2021-12-03,IC2112,多头占优
1616,82787,92559,9772,175346,5.57,146.23,145.8,2021-12-06,IC2112,多头占优
1617,83204,93284,10080,176488,5.71,147.8,147.45,2021-12-07,IC2112,多头占优
1618,76557,85059,8502,161616,5.26,147.91,145.85,2021-12-08,IC2112,多头占优
1619,72187,79730,7543,151917,4.97,147.23,145.15,2021-12-09,IC2112,多头占优
1620,66940,71781,4841,138721,3.49,147.14,145.19,2021-12-10,IC2112,多头占优
1621,59122,63287,4165,122409,3.4,146.7,145.25,2021-12-13,IC2112,多头占优
1622,48867,53262,4395,102129,4.3,144.03,147.16,2021-12-14,IC2112,多头占优
1623,36753,39573,2820,76326,3.69,144.93,147.9,2021-12-15,IC2112,多头占优
1624,54463,56030,1567,110493,1.42,144.94,144.13,2021-12-16,IC2201,多头占优
1625,64525,65395,870,129920,0.67,144.76,146.13,2021-12-17,IC2201,多头占优
1626,70410,69296,-1114,139706,-0.8,146.62,146.92,2021-12-20,IC2201,空头力量偏弱
1627,65922,65494,-428,131416,-0.33,144.29,144.54,2021-12-21,IC2201,空头力量偏弱
1628,64096,63377,-719,127473,-0.56,144.24,142.67,2021-12-22,IC2201,空头力量偏弱
